id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
6,35,國泰人壽保險股份有限公司,太陽能,28,2017,2017-12-22,"2017-12-25 11:07:52",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,2
4,35,國泰人壽保險股份有限公司,太陽能,20,2017,2017-09-13,"2017-09-26 10:43:07",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,5
210,35,國泰人壽保險股份有限公司,太陽能,22,2018,2018-12-20,"2018-12-20 15:38:55",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,2
59,35,國泰人壽保險股份有限公司,太陽能,38,2018,2018-09-18,"2018-09-18 13:11:50",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,48
13,35,國泰人壽保險股份有限公司,太陽能,5,2017,2018-01-15,"2018-02-01 09:09:09",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,94
741,35,國泰人壽保險股份有限公司,太陽能,70,2019,2019-11-29,"2019-11-29 09:51:26",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,11
3561,29,國泰人壽保險股份有限公司,太陽能,10,2021,2022-04-25,"2022-04-25 14:36:11",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,88
24155,6370,國泰人壽保險股份有限公司,太陽能,1,2023,2023-12-15,"2023-12-15 14:05:13",光洋應用材料科技股份有限公司<br/>光洋科機車棚,,1,1,18
13741,29,國泰人壽保險股份有限公司,太陽能,139,2022,2023-06-19,"2023-06-19 10:36:21",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,85
11251,1963,國泰人壽保險股份有限公司,太陽能,6,2022,2023-05-20,"2023-05-20 06:30:57",客家委員會客家文化發展中心<br/>六堆客家文化園區,,1,1,96
11250,31,國泰人壽保險股份有限公司,太陽能,1,2022,2023-05-20,"2023-05-20 06:30:56",客家委員會客家文化發展中心六堆園區<br/>客家委員會客家文化發展中心六堆園區,,1,1,97
11249,160,國泰人壽保險股份有限公司,太陽能,109,2022,2023-05-20,"2023-05-20 06:30:55",客家委員會客家文化發展中心銅鑼園區<br/>客家委員會客家文化發展中心銅鑼園區,,1,1,99
26765,2084,國泰人壽保險股份有限公司,生質能,1,2023,2024-01-18,"2024-01-18 17:19:40",中華紙漿股份有限公司<br/>中華紙漿股份有限公司花蓮廠,,1,1,24
